This is sort by Life Expectancyfor the year 2000.
('Niger', 54.0, 786.0)
('Angola', 54.2, 4300.0)
('Cameroon', 54.6, 2690.0)
('"Congo, Dem. Rep."', 54.6, 558.0)
('"Congo, Rep."', 54.8, 4640.0)
('Ethiopia', 54.8, 613.0)
('Liberia', 55.1, 910.0)
('Eritrea', 55.2, 2390.0)
('Mali', 55.3, 1740.0)
('Tanzania', 55.4, 1750.0)
('Guinea', 55.5, 1580.0)
('Papua New Guinea', 55.7, 2500.0)
('South Sudan', 55.8, 3110.0)
('Kenya', 56.0, 2080.0)
('Nigeria', 56.0, 3730.0)
('Afghanistan', 56.4, 1060.0)
('Togo', 56.7, 1170.0)
('Benin', 58.4, 1740.0)
('Gabon', 58.9, 17300.0)
('Haiti', 58.9, 1660.0)
('Lao', 59.0, 2820.0)
('Equatorial Guinea', 59.3, 21900.0)
('Ghana', 59.6, 2360.0)
('Kiribati', 59.8, 1970.0)
('Madagascar', 60.0, 1340.0)
('Myanmar', 60.1, 1780.0)
('Djibouti', 61.0, 2210.0)
('Solomon Islands', 61.1, 1600.0)
('Marshall Islands', 62.0, 3060.0)
('Cambodia', 62.1, 1630.0)
('Gambia', 62.1, 1440.0)
('Senegal', 62.3, 2520.0)
('Pakistan', 62.4, 3490.0)
('Mongolia', 63.2, 5220.0)
('Vanuatu', 63.3, 2510.0)
('Comoros', 63.6, 2380.0)
('Sudan', 64.3, 2610.0)
('India', 64.5, 3020.0)
('Yemen', 64.8, 4100.0)
('Mauritania', 64.9, 2840.0)
('Russia', 65.1, 16800.0)
('Kazakhstan', 65.3, 13500.0)
('Sao Tome and Principe', 65.8, 2070.0)
('"Micronesia, Fed. Sts."', 66.4, 3270.0)
('Guyana', 66.5, 4760.0)
('Timor-Leste', 66.5, 3060.0)
('Fiji', 66.7, 7050.0)
('Bangladesh', 66.8, 1830.0)
('Turkmenistan', 66.9, 5590.0)
('Kyrgyz Republic', 67.0, 2270.0)
('Uzbekistan', 67.0, 2740.0)
('Azerbaijan', 67.2, 5970.0)
('Nepal', 67.3, 1590.0)
('Indonesia', 68.0, 6330.0)
('Bolivia', 68.1, 4420.0)
('Bhutan', 68.3, 4170.0)
('Ukraine', 68.3, 6210.0)
('Belarus', 68.4, 9090.0)
('Egypt', 68.4, 7760.0)
('Iraq', 68.4, 7130.0)
('Tajikistan', 68.9, 1520.0)
('Philippines', 69.1, 4440.0)
('Moldova', 69.2, 3450.0)
('Guatemala', 69.4, 6170.0)
('Suriname', 69.5, 10800.0)
('Palestine', 70.0, 3090.0)
('North Korea', 70.2, 1700.0)
('Morocco', 70.3, 5080.0)
('Tonga', 70.7, 4960.0)
('Latvia', 70.9, 14300.0)
('Trinidad and Tobago', 71.1, 23300.0)
('Honduras', 71.2, 3410.0)
('Romania', 71.4, 12300.0)
('Belize', 71.5, 7700.0)
('Cape Verde', 72.0, 4160.0)
('Estonia', 72.0, 19400.0)
('United Arab Emirates', 72.0, 98600.0)
('Samoa', 72.1, 4960.0)
('Seychelles', 72.1, 16800.0)
('Vietnam', 72.1, 3020.0)
('Lithuania', 72.2, 15700.0)
('St. Vincent and the Grenadines', 72.2, 8760.0)
('Brazil', 72.3, 11600.0)
('Bulgaria', 72.4, 10700.0)
('Serbia', 72.4, 9370.0)
('Georgia', 72.6, 4470.0)
('Hungary', 72.6, 20400.0)
('Mauritius', 72.7, 12300.0)
('Armenia', 72.9, 4210.0)
('Bahamas', 72.9, 32700.0)
('Iran', 72.9, 15000.0)
('El Salvador', 73.0, 5740.0)
('China', 73.4, 4710.0)
('Malaysia', 73.4, 17200.0)
('Venezuela', 73.5, 12000.0)
('Thailand', 73.6, 10500.0)
('Sri Lanka', 73.7, 5870.0)
('Dominican Republic', 73.8, 8380.0)
('Libya', 73.8, 23000.0)
('Dominica', 73.9, 8450.0)
('Jordan', 74.0, 7900.0)
('Slovak Republic', 74.0, 17800.0)
('St. Lucia', 74.0, 10500.0)
('North Macedonia', 74.1, 8590.0)
('Oman', 74.1, 42000.0)
('Bahrain', 74.2, 43200.0)
('Ecuador', 74.2, 7760.0)
('Argentina', 74.3, 13400.0)
('Montenegro', 74.3, 10800.0)
('Brunei', 74.4, 85000.0)
('Grenada', 74.4, 10500.0)
('Syria', 74.4, 5220.0)
('Maldives', 74.5, 10600.0)
('Algeria', 74.6, 11500.0)
('Paraguay', 74.7, 7800.0)
('Saudi Arabia', 74.7, 42500.0)
('Croatia', 74.9, 18600.0)
('Poland', 74.9, 15800.0)
('Uruguay', 74.9, 11500.0)
('Mexico', 75.0, 15600.0)
('Colombia', 75.1, 8710.0)
('Nicaragua', 75.2, 3480.0)
('Tunisia', 75.2, 8130.0)
('Albania', 75.4, 6610.0)
('Antigua and Barbuda', 75.4, 20300.0)
('Barbados', 75.4, 15300.0)
('Czech Republic', 75.5, 23100.0)
('Jamaica', 75.9, 8340.0)
('Peru', 75.9, 6870.0)
('Turkey', 75.9, 14000.0)
('Bosnia and Herzegovina', 76.0, 7240.0)
('Lebanon', 76.1, 10300.0)
('Qatar', 76.1, 109000.0)
('Slovenia', 76.5, 24900.0)
('United States', 77.2, 46900.0)
('Chile', 77.3, 15300.0)
('Cyprus', 77.4, 31400.0)
('Denmark', 77.5, 42600.0)
('Portugal', 77.6, 26000.0)
('South Korea', 77.6, 23500.0)
('Cuba', 77.8, 5200.0)
('Panama', 77.8, 10800.0)
('Ireland', 78.2, 43100.0)
('Costa Rica', 78.4, 10400.0)
('Belgium', 78.5, 38000.0)
('United Kingdom', 78.5, 35700.0)
('Netherlands', 78.6, 42400.0)
('Finland', 78.7, 36900.0)
('Luxembourg', 78.7, 85400.0)
('Germany', 78.8, 37000.0)
('New Zealand', 78.9, 30500.0)
('Austria', 79.0, 39800.0)
('Greece', 79.1, 28100.0)
